location_site,location_waypoint,location_reach_number,location_distance_m,habitat_unit_type,habitat_unit_cat,habitat_unit_length_m,habitat_unit_gradient_percent,mean_depth_bankfull_m,mean_depth_water_m,mean_depth_water_m_2,mean_depth_water_m_3,mean_width_bankfull_m,mean_width_wetted_m,pools_only_max_depth_m,pools_only_crest_m,pools_only_residual_m,pools_only_pool_type,bed_material_type_dom,bed_material_type_sub_dom,bed_material_type_spawning_gravel,bed_material_type_spawning_gravel_2,total_lwd_tally_spawning_gravel,functional_lwd10_20cm,functional_lwd20_50cm,functional_lwd_50cm,cover_type,cover_percent,cover_type_2,cover_percent_2,offchannel_habitat_type,offchannel_habitat_access,offchannel_habitat_length_m,disturbance_indicators_length_m,disturbance_indicators_length_m_2,disturbance_indicators_length_m_3,riparian_vegetation_type,riparian_vegetation_structure,riparian_vegetation_canopy_closure,notes_barriers,notes_comments,easting,northing
2,099,1,85,R,1,85,3,0.45,0.3,0.28,0.24,6.3,5.3,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,B,5,UB,NA,NA,NA,NA,NA,NA,NA,M,YF,1,NA,NA,649933.4982684023,5531893.79240461
2,100,1,128,C,1,43,4.5,0.4,0.25,0.2,0.35,6.9,6,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,B,5,OV,NA,NA,NA,NA,NA,NA,NA,M,YF,1,NA,NA,649914.2969873155,5531868.777282563
2,101,1,172,R,1,44,3,0.4,0.27,0.24,0.3,6.2,4.7,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,0,B,4,UB,NA,NA,NA,NA,NA,NA,NA,M,YF,1,NA,LWD at top end,649896.4732255649,5531833.011119207
2,102,1,209,C,1,37,4,0.3,0.25,0.4,0.4,5.8,3.9,NA,NA,NA,NA,NA,NA,NA,NA,11,2,3,1,B,4,LWD,NA,NA,NA,NA,NA,NA,NA,M,YF,1,NA,reset chain,649864.3724185086,5531814.760979329
2,103,1,214.5,G,1,5.5,0.5,0.5,0.15,0.4,0.5,7.4,3.7,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,1,UB,10,LWD,NA,NA,NA,NA,NA,NA,NA,M,YF,1,NA,LWD at top end,649862.1312023292,5531807.4712421205
2,104,1,237.5,C,1,23,4,0.7,0.2,0.35,0.3,6.3,4.7,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,1,B,4,UB,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649856.9275869281,5531795.865126573
2,105,1,250.5,R,1,13,2,0.4,0.45,0.4,0.2,6.1,3.6,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,U,7,B,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649859.0696606511,5531788.576416839
2,106,1,272.5,C,1,22,4.5,0.35,0.3,0.35,0.3,5.8,4.4,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,SWD,5,B,5,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649847.5847814556,5531780.469350185
2,107,1,280,R,1,7.5,1.5,0.6,0.2,0.3,0.4,5.6,2.8,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,LWD,NA,UB,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649836.4643163378,5531782.611814262
2,108,1,289,C,1,9,4,0.6,0.4,0.25,0.1,5.7,4.8,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,UB,NA,SWD,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649834.3562237553,5531778.319272689
2,109,1,292,P,1,3,0,0.5,0.35,0.5,0.25,8.9,8.5,0.6,0.15,0.45,S,NA,NA,NA,NA,3,0,1,0,LWD,5,UB,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649828.0092008414,5531774.0297567975
2,110,1,297,R,1,5,2,0.45,0.15,0.2,0.2,6.7,4.5,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,0,LWD,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649826.4439987427,5531778.770065121
2,111,1,299,P,1,2,0,0.55,0.45,0.5,0.3,6.2,4.3,0.45,0.05,0.4,S,NA,NA,NA,NA,6,6,0,0,DP,50,LWD,25,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649827.9533347499,5531776.033170137
2,112,1,307,C,1,8,10,0.5,0.3,0.3,0.3,6.7,5.5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,SWD,NA,UB,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649818.5073115458,5531779.882293743
2,113,1,311,P,1,4,0,0.4,0.5,0.2,0.35,7.4,6.8,0.8,0.2,0.6,S,NA,NA,NA,NA,3,1,2,0,DP,40,LWD,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,wpt end 113,649811.3690123627,5531775.68263968
3,115,2,7.5,C,1,7.5,6,0.6,0.25,0.25,0.25,6.6,3.4,NA,NA,NA,NA,NA,NA,NA,NA,4,0,2,0,UB,3,B,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649390.5949505692,5531710.000801173
3,116,2,14.5,R,1,7,1.5,0.55,0.3,0.25,0.3,7.3,4.3,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,0,LWD,3,UB,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649395.0583639474,5531707.122119309
3,117,2,30,C,1,15.5,5,0.5,0.2,0.25,0.3,6.1,5.9,NA,NA,NA,NA,NA,NA,NA,NA,7,2,3,0,UB,4,LWD,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649379.1238439952,5531706.567189731
3,118,2,37,G,1,7,0.5,0.7,0.5,0.4,0.6,5.7,5.1,NA,NA,NA,NA,NA,NA,NA,NA,11,7,2,0,LWD,5,SWD,3,NA,NA,NA,NA,NA,NA,C,MF,1,yes,barrier is 0.6m high,649371.6951766285,5531700.019390044
3,119,2,59,R,1,22,1.5,0.45,0.15,0.25,0.35,5.2,3.9,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,0,B,3,UB,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649352.1601849356,5531694.692420988
3,120,2,66,G,1,7,5,0.45,0.35,0.3,0.25,7.8,4.8,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,B,3,UB,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649347.3228396027,5531690.445458982
3,121,2,75,R,1,9,1.5,0.4,0.2,0.15,0.35,5.7,5.3,NA,NA,NA,NA,NA,NA,NA,NA,5,0,1,2,LWD,3,B,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649346.9217051126,5531691.879747354
3,122,2,85,C,1,10,5,0.45,0.25,0.05,0.2,6.8,6.4,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,B,3,UB,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649331.5049573594,5531690.891733306
3,123,2,94,R,1,9,2.5,0.6,0.15,0.2,0.3,5.2,4.1,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,UB,3,B,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649324.7097719775,5531689.928874907
3,124,2,110,C,1,16,8,0.45,0.3,0.3,0.15,6.9,5.5,NA,NA,NA,NA,NA,NA,NA,NA,5,0,4,1,B,3,LWD,NA,SC,P,27,NA,NA,NA,C,MF,1,NA,NA,649300.8041439123,5531704.72608301
3,125,2,115,P,1,5,0.5,0.9,0.4,0.5,0.5,7.2,4.2,0.9,0.2,0.7,SC,NA,NA,NA,NA,10,5,4,1,DP,70,LWD,50,NA,NA,NA,NA,NA,NA,C,MF,1,yes,barrier is 0.7m high,649280.3069742817,5531690.252399303
3,126,2,132,C,1,17,7,0.5,0.2,0.25,0.25,5.6,5.3,NA,NA,NA,NA,NA,NA,NA,NA,12,5,5,0,LWD,NA,B,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649277.4052357397,5531688.502534901
3,127,2,152,R,1,20,2,0.65,0.25,0.2,0.15,5.9,2.7,0.7,0.2,0.5,SC,NA,NA,NA,NA,5,4,1,0,UB,3,LWD,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649266.9351019927,5531690.431106352
3,128,2,156,P,1,4,0,0.4,0.3,0.6,0.4,7.8,3.8,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,0,DP,80,LWD,3,SC,G,NA,NA,NA,NA,C,MF,1,NA,NA,649260.4183673371,5531687.247294713
3,129,2,181,C,1,25,4,0.4,0.3,0.2,0.2,5.1,4.5,NA,NA,NA,NA,NA,NA,NA,NA,10,1,9,0,B,3,LWD,3,SC,G,100,NA,NA,NA,C,MF,1,NA,NA,649238.302582377,5531689.421277877
3,130,2,198,R,1,17,2.5,0.35,0.4,0.3,0.2,5.8,5.5,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,B,NA,UB,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649219.0846948072,5531690.883170401
3,131,2,284,C,1,86,5,0.4,0.25,0.25,0.25,7.7,5.7,NA,NA,NA,NA,NA,NA,NA,NA,10,4,7,1,B,5,LWD,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649153.4184918564,5531709.314676636
3,132,2,290,G,1,6,0.5,0.6,0.2,0.25,0.4,5.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,8,1,5,1,B,4,UB,NA,NA,NA,NA,NA,NA,NA,C,MF,1,yes,barrier is 0.7m high,649157.8949763558,5531713.551440477
3,133,2,292,C,1,2,11,0.6,0.5,0.3,0.3,6.2,4.6,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,1,LWD,30,SWD,5,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649154.8393155048,5531712.35689392
3,134,2,293.5,P,1,1.5,0,0.9,0.65,0.5,0.3,6.5,4.5,0.65,0.15,0.5,SC,NA,NA,NA,NA,5,1,3,1,LWD,15,SWD,3,NA,NA,NA,NA,NA,NA,C,MF,1,yes,barrier is 0.7m high,649154.6010617586,5531713.348096927
3,135,2,333.5,R,1,40,2,0.3,0.2,0.2,0.2,7,5.4,NA,NA,NA,NA,NA,NA,NA,NA,10,4,3,0,UB,NA,SWD,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649139.6948465203,5531735.184707289
3,136,2,333.5,G,3,5,0,1,0.75,0.6,0.3,2,1.6,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,UB,25,B,5,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,649119.1778182369,5531744.630721753
3,137,2,352,C,1,18.5,6.5,0.5,0.25,0.3,0.25,5.4,4.8,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,2,B,NA,UB,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,649113.1735082797,5531748.800391152
3,138,2,355.5,P,1,3.5,0.5,0.9,0.5,0.55,0.55,5.5,4.9,0.8,0.25,0.55,SC,NA,NA,NA,NA,3,0,2,1,DP,55,LWD,3,NA,NA,NA,NA,NA,NA,M,MF,1,NA,wpt end 138,649109.8968231925,5531745.156483998
1,141,1,17,C,1,17,5,0.6,0.15,0.1,0.2,9.4,5.5,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,0,UB,3,SWD,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,start at confluence with Elk River,650959.4256472059,5532427.852895153
1,142,1,31,G,1,14,0.5,0.5,0.3,0.5,0.6,10,4.2,NA,NA,NA,NA,NA,NA,NA,NA,7,4,3,0,SWD,3,LWD,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,650955.1660264296,5532410.82596928
1,143,1,45,R,1,14,1.5,0.35,0.2,0.25,0.2,4.4,3.5,NA,NA,NA,NA,NA,NA,NA,NA,9,4,5,0,LWD,NA,UB,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,650951.2818529336,5532405.932814537
1,144,1,51,G,1,6,0.5,0.55,0.4,0.4,0.25,4.1,3.4,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,UB,3,LWD,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,650945.9323439322,5532404.551522918
1,145,1,64,C,1,13,4,0.6,0.15,0.2,0.2,5,3.8,NA,NA,NA,NA,NA,NA,NA,NA,9,6,3,0,UB,NA,LWD,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,650950.6932121987,5532393.671825724
1,146,1,75,R,1,11,1,0.6,0.3,0.4,0.35,4.6,3.1,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,UB,NA,LWD,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,650949.122567063,5532385.505136695
1,147,1,87,C,1,12,4,0.5,0.25,0.25,0.4,5.3,2.9,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,UB,NA,SWD,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,650938.199221853,5532378.082813185
1,148,1,90,P,1,3,0,0.6,0.9,1.1,0.7,5.6,5,1.1,0.2,0.9,SC,NA,NA,NA,NA,LJ,0,0,0,DP,75,LWD,40,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,650940.6252697406,5532373.590785709
1,149,1,100,R,1,10,2,0.4,0.25,0.3,0.3,5.6,2.4,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,0,SWD,NA,UB,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,650938.6019680572,5532361.177583198
1,150,1,103,C,1,3,5,0.45,0.15,0.15,0.15,5.7,3.4,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,0,SWD,NA,SWD,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,650943.124741267,5532353.629735845
1,151,1,116.2,R,1,13.2,1.5,0.4,0.2,0.25,0.25,5.4,4.8,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,SWD,NA,UB,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,650933.4124527226,5532341.457448149
1,152,1,145.2,C,1,29,3.5,0.5,0.2,0.3,0.25,7.8,3.4,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,UB,NA,SWD,NA,SC,G,25,NA,NA,NA,C,MF,1,NA,NA,650929.093305184,5532323.757440892
1,153,1,151,R,1,5.8,2.5,0.6,0.35,0.4,0.25,11.4,6.9,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,1,SWD,NA,LWD,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,650930.5808930888,5532319.453529998
1,154,1,156,C,1,5,5,0.35,0.2,0.35,0.3,7.5,6.3,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,0,LWD,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,650925.8302776067,5532317.324394287
1,155,1,188,R,1,32,2,0.35,0.3,0.25,0.2,4.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,12,2,3,0,LWD,NA,UB,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,650898.9490079702,5532328.021013651
1,157,1,212.5,C,1,24.5,4.5,0.4,0.3,0.3,0.2,7.1,3.6,NA,NA,NA,NA,NA,NA,NA,NA,7,2,1,0,UB,3,SWD,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,650875.1162830978,5532322.567610115
1,158,1,231.5,R,1,19,1,0.3,0.25,0.3,0.3,4.2,3.5,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,0,UB,NA,SWD,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,650859.4546612904,5532309.780756586
1,159,1,282.3,C,1,50.8,4,0.3,0.15,0.25,0.2,7.1,5.3,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,0,UB,3,B,NA,NA,NA,NA,NA,NA,NA,C,MF,2,NA,NA,650815.5722006402,5532278.846785364
1,160,1,285.3,G,1,3,0.5,0.4,0.35,0.5,0.35,7.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,0,LWD,50,SWD,25,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,650814.1129488177,5532282.358848691
1,161,1,305.6,C,1,20.3,5,0.45,0.3,0.25,0.2,7.2,3.4,NA,NA,NA,NA,NA,NA,NA,NA,14,5,5,0,LWD,25,SWD,15,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,650810.9481460892,5532261.912355612
1,162,1,314.6,R,1,9,2.5,0.4,0.3,0.25,0.2,7.1,3.2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,0,UB,NA,LWD,NA,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,650815.8636567631,5532258.385413341
